gene_name	log2FoldChange	log2FC.shrink	pvalue	padj	de_vector	condition
CJJ81176_0027	-0.42546665697698777	-0.3578455906930846	0.0027562397125561206	0.019550331888252323	-1	As
CJJ81176_0028	0.24960083809512537	0.18730247069162953	0.08043578464033707	0.21127960223368897	0	As
CJJ81176_0029	0.1571823117536102	0.14270403153943895	0.03176597954321825	0.11381185308735864	0	As
CJJ81176_0030	-0.051885640995666046	-0.03173741682512602	0.7597882253429691	0.8710647843844628	0	As
CJJ81176_0031	-0.0960805109421685	-0.07482992210934022	0.3821911055985547	0.6054238851796273	0	As
CJJ81176_0032	0.1639622303444713	0.13014601453566194	0.15674922674578673	0.3365498103659538	0	As
CJJ81176_0033	-0.18086687704541202	-0.1416642210696617	0.1350461409040937	0.30647777054918673	0	As
CJJ81176_0034	0.0883340244206378	0.06540713806527208	0.49050817034433586	0.6902572806773304	0	As
CJJ81176_0035	0.1646928225107436	0.11954966352056091	0.19338541586988867	0.3872128555474799	0	As
CJJ81176_0036	-0.07545633401215482	-0.056984421545399865	0.5309915900466562	0.7217550628698458	0	As
CJJ81176_0037	-0.12948172816431408	-0.04621384994046373	0.6086395860338931	0.7817716676916281	0	As
CJJ81176_0038	0.08821267309093186	0.05119550468256631	0.6264308242246861	0.790101058087449	0	As
CJJ81176_0039	-0.023406449913919998	-0.019471011350987173	0.8061351942953625	0.8927616058188845	0	As
CJJ81176_0040	0.8432881743250643	0.012167378213799589	0.6305499140078743	NA	0	As
CJJ81176_0041	0.09858898063713735	0.044915041891050445	0.66338562572333315	0.8146750858730186	0	As
CJJ81176_0042	-0.2750158324865149	-0.21312123225752225	0.04240203605067802	0.1378262841573059	0	As
CJJ81176_0043	0.2894179726647344	0.21066510715195463	0.06638918531998943	0.1834603354583935	0	As
CJJ81176_0044	0.5023464993080048	0.46232701500851014	3.805142742271125e-5	7.662770212021852e-4	1	As
CJJ81176_0045	0.4341433367058117	0.022146608226118074	0.623261990683931	0.7893449822397919	0	As
CJJ81176_0046	0.4123459946929903	0.3772135291850103	6.640005880097083e-5	0.0011870704389724581	1	As
CJJ81176_0047	0.26200452348279374	0.22377309977725027	0.014520441838744654	0.06598790425037276	0	As
CJJ81176_0048	-0.46606770525628094	-0.3971203053413237	0.0012631571971075354	0.010795372728450742	-1	As
